test,PKG,CPU,time
bubblesort,0.010986328,0.009155273,3.165
bubblesort,0.013183594,0.010925293,3.069
bubblesort,0.015197754,0.009399414,2.617
bubblesort,0.010559082,0.00958252,2.572
bubblesort,0.00994873,0.00994873,2.671
bubblesort,0.015380859,0.010009766,2.684
bubblesort,0.009887695,0.010253906,2.712
bubblesort,0.014648438,0.010070801,2.638
bubblesort,0.014343262,0.009765625,2.537
bubblesort,0.010009766,0.010009766,2.555
bubblesort,0.014465332,0.009399414,2.58
bubblesort,0.010192871,0.009643555,2.591
bubblesort,0.014404297,0.010375977,2.591
bubblesort,0.014892578,0.009399414,2.588
bubblesort,0.008789063,0.009643555,2.566
bubblesort,0.015380859,0.009521484,2.561
bubblesort,0.010253906,0.009765625,2.556
bubblesort,0.014709473,0.010131836,2.654
bubblesort,0.010253906,0.010681152,2.321
bubblesort,0.018493652,0.011901855,2.288
bubblesort,0.012878418,0.011474609,2.224
bubblesort,0.012939453,0.011413574,2.122
bubblesort,0.014282227,0.012573242,2.153
bubblesort,0.013916016,0.011962891,2.107
bubblesort,0.013305664,0.013244629,2.163
bubblesort,0.01385498,0.012023926,2.151
bubblesort,0.022033691,0.013427734,2.068
bubblesort,0.01385498,0.01171875,2.108
bubblesort,0.013183594,0.013427734,2.161
bubblesort,0.014526367,0.01348877,2.168
bubblesort,0.013122559,0.013122559,2.165
bubblesort_func,0.01763916,0.019104004,3.698
bubblesort_func,0.02545166,0.017456055,3.418
bubblesort_func,0.018920898,0.017211914,3.415
bubblesort_func,0.024658203,0.017150879,3.342
bubblesort_func,0.017150879,0.017211914,3.377
bubblesort_func,0.018493652,0.018676758,3.467
bubblesort_func,0.023925781,0.017089844,3.444
bubblesort_func,0.01739502,0.017944336,3.416
bubblesort_func,0.023681641,0.018371582,3.422
bubblesort_func,0.018005371,0.017822266,3.464
bubblesort_func,0.024963379,0.017883301,3.398
bubblesort_func,0.016967773,0.016967773,3.428
bubblesort_func,0.017700195,0.017456055,3.41
bubblesort_func,0.024353027,0.01739502,3.372
bubblesort_func,0.017700195,0.018249512,3.397
bubblesort_func,0.018493652,0.016662598,3.426
bubblesort_func,0.017333984,0.017272949,3.404
bubblesort_func,0.017944336,0.017578125,3.379
bubblesort_func,0.023376465,0.018249512,3.406
bubblesort_func,0.018981934,0.01776123,3.443
bubblesort_func,0.023986816,0.018737793,3.435
bubblesort_func,0.018981934,0.017883301,3.418
bubblesort_func,0.024841309,0.018615723,3.502
bubblesort_func,0.018310547,0.018615723,3.414
bubblesort_func,0.019104004,0.017333984,3.404
bubblesort_func,0.023864746,0.018066406,3.456
bubblesort_func,0.018371582,0.018371582,3.49
bubblesort_func,0.025268555,0.017578125,3.396
bubblesort_func,0.017700195,0.01739502,3.379
bubblesort_func,0.024047852,0.018371582,3.542
bubblesort_ll2,0.025939941,0.01776123,3.688
bubblesort_ll2,0.018981934,0.01940918,3.679
bubblesort_ll2,0.018127441,0.018127441,3.642
bubblesort_ll2,0.023803711,0.016296387,3.555
bubblesort_ll2,0.018127441,0.018554688,3.679
bubblesort_ll2,0.023864746,0.018615723,3.554
bubblesort_ll2,0.018554688,0.016723633,3.512
bubblesort_ll2,0.023742676,0.018615723,3.687
bubblesort_ll2,0.0234375,0.017272949,3.6
bubblesort_ll2,0.018493652,0.020324707,3.662
bubblesort_ll2,0.023803711,0.018005371,3.663
bubblesort_ll2,0.022583008,0.017822266,3.726
bubblesort_ll2,0.018432617,0.017456055,3.647
bubblesort_ll2,0.023071289,0.018005371,3.607
bubblesort_ll2,0.023254395,0.016540527,3.511
bubblesort_ll2,0.018127441,0.018310547,3.54
bubblesort_ll2,0.024719238,0.018920898,3.658
bubblesort_ll2,0.01739502,0.018249512,3.664
bubblesort_ll2,0.023376465,0.017822266,3.639
bubblesort_ll2,0.024963379,0.018066406,3.571
bubblesort_ll2,0.018005371,0.018554688,3.652
bubblesort_ll2,0.022949219,0.019104004,3.719
bubblesort_ll2,0.02331543,0.017883301,3.708
bubblesort_ll2,0.017456055,0.018005371,3.768
bubblesort_ll2,0.022399902,0.017700195,3.638
bubblesort_ll2,0.023010254,0.016113281,3.564
bubblesort_ll2,0.017822266,0.01940918,3.631
bubblesort_ll2,0.022766113,0.017578125,3.54
bubblesort_ll2,0.017578125,0.017883301,3.569
bubblesort_ll2,0.022766113,0.01739502,3.535
bubblesort_ll,0.013366699,0.014770508,2.622
bubblesort_ll,0.020874023,0.013793945,2.486
bubblesort_ll,0.013977051,0.014404297,2.441
bubblesort_ll,0.014282227,0.013366699,2.435
bubblesort_ll,0.019042969,0.013793945,2.401
bubblesort_ll,0.013549805,0.014709473,2.467
bubblesort_ll,0.020324707,0.012695313,2.348
bubblesort_ll,0.013427734,0.01550293,2.527
bubblesort_ll,0.020324707,0.01373291,2.403
bubblesort_ll,0.013000488,0.014038086,2.376
bubblesort_ll,0.013000488,0.013977051,2.537
bubblesort_ll,0.020507813,0.014587402,2.421
bubblesort_ll,0.014709473,0.014221191,2.385
bubblesort_ll,0.019470215,0.013671875,2.391
bubblesort_ll,0.013793945,0.014038086,2.408
bubblesort_ll,0.019775391,0.014282227,2.393
bubblesort_ll,0.01385498,0.014343262,2.412
bubblesort_ll,0.013916016,0.013061523,2.378
bubblesort_ll,0.020690918,0.01385498,2.389
bubblesort_ll,0.013000488,0.013183594,2.37
bubblesort_ll,0.014038086,0.013427734,2.401
bubblesort_ll,0.020568848,0.016174316,2.663
bubblesort_ll,0.014282227,0.013244629,2.363
bubblesort_ll,0.014160156,0.014221191,2.393
bubblesort_ll,0.013977051,0.013793945,2.458
bubblesort_ll,0.019226074,0.014282227,2.51
bubblesort_ll,0.014099121,0.014038086,2.534
bubblesort_ll,0.02142334,0.013549805,2.414
bubblesort_ll,0.013671875,0.014282227,2.378
bubblesort_ll,0.020629883,0.01361084,2.393
bubblesort,0.010742188,0.009155273,3.674
bubblesort,0.012451172,0.009277344,2.978
bubblesort,0.013061523,0.010131836,2.981
bubblesort,0.013244629,0.009338379,2.874
bubblesort,0.013244629,0.009643555,2.898
bubblesort,0.013183594,0.008666992,2.846
bubblesort,0.012573242,0.009155273,2.999
bubblesort,0.012084961,0.008972168,2.915
bubblesort,0.013366699,0.009521484,2.847
bubblesort,0.013305664,0.009216309,2.971
bubblesort,0.008178711,0.009094238,2.872
bubblesort,0.012756348,0.009094238,2.827
bubblesort,0.013366699,0.008911133,2.874
bubblesort,0.013244629,0.009155273,2.816
bubblesort,0.012695313,0.009338379,2.89
bubblesort,0.013000488,0.009521484,2.861
bubblesort,0.012878418,0.008911133,2.855
bubblesort,0.010253906,0.010925293,2.411
bubblesort,0.011413574,0.010498047,2.4
bubblesort,0.01159668,0.010620117,2.092
bubblesort,0.020080566,0.011474609,2.036
bubblesort,0.014831543,0.012756348,2.074
bubblesort,0.01373291,0.011535645,2.049
bubblesort,0.013671875,0.013916016,2.178
bubblesort,0.01361084,0.01159668,2.054
bubblesort,0.013977051,0.012084961,2.007
bubblesort,0.01348877,0.012634277,2.086
bubblesort,0.013305664,0.012329102,2.054
bubblesort,0.014587402,0.012878418,2.135
bubblesort,0.014038086,0.013000488,2.13
bubblesort_func,0.021057129,0.018676758,4.129
bubblesort_func,0.018005371,0.017089844,3.446
bubblesort_func,0.024108887,0.016662598,3.412
bubblesort_func,0.017333984,0.018554688,3.501
bubblesort_func,0.024291992,0.017150879,3.349
bubblesort_func,0.016906738,0.01751709,3.41
bubblesort_func,0.018127441,0.016967773,3.393
bubblesort_func,0.023132324,0.017028809,3.382
bubblesort_func,0.016906738,0.017333984,3.36
bubblesort_func,0.024291992,0.017333984,3.45
bubblesort_func,0.017822266,0.018066406,3.32
bubblesort_func,0.018432617,0.017456055,3.445
bubblesort_func,0.0234375,0.017944336,3.39
bubblesort_func,0.017700195,0.017211914,3.458
bubblesort_func,0.024291992,0.01751709,3.427
bubblesort_func,0.016845703,0.017883301,3.376
bubblesort_func,0.018615723,0.017578125,3.354
bubblesort_func,0.024414063,0.017272949,3.39
bubblesort_func,0.018432617,0.017700195,3.461
bubblesort_func,0.024230957,0.018554688,3.522
bubblesort_func,0.018554688,0.017150879,3.498
bubblesort_func,0.024841309,0.018066406,3.516
bubblesort_func,0.01751709,0.016906738,3.374
bubblesort_func,0.018615723,0.018127441,3.398
bubblesort_func,0.017944336,0.016784668,3.429
bubblesort_func,0.024536133,0.017944336,3.552
bubblesort_func,0.017456055,0.018005371,3.508
bubblesort_func,0.024597168,0.017456055,3.536
bubblesort_func,0.017456055,0.018066406,3.433
bubblesort_func,0.018920898,0.01763916,3.493
bubblesort_ll2,0.022705078,0.01763916,3.867
bubblesort_ll2,0.017578125,0.016540527,3.531
bubblesort_ll2,0.023620605,0.01751709,3.696
bubblesort_ll2,0.017333984,0.016296387,3.603
bubblesort_ll2,0.023071289,0.018188477,3.566
bubblesort_ll2,0.023376465,0.01739502,3.606
bubblesort_ll2,0.016845703,0.017333984,3.535
bubblesort_ll2,0.0234375,0.016479492,3.479
bubblesort_ll2,0.017883301,0.018859863,3.632
bubblesort_ll2,0.023681641,0.01763916,3.61
bubblesort_ll2,0.017272949,0.01751709,3.653
bubblesort_ll2,0.017150879,0.016418457,3.514
bubblesort_ll2,0.024658203,0.017822266,3.613
bubblesort_ll2,0.017089844,0.018432617,3.621
bubblesort_ll2,0.023254395,0.017333984,3.485
bubblesort_ll2,0.01776123,0.016845703,3.458
bubblesort_ll2,0.022521973,0.018554688,3.537
bubblesort_ll2,0.018005371,0.01739502,3.537
bubblesort_ll2,0.023681641,0.018737793,3.524
bubblesort_ll2,0.017700195,0.017822266,3.64
bubblesort_ll2,0.022460938,0.017822266,3.484
bubblesort_ll2,0.018615723,0.018310547,3.584
bubblesort_ll2,0.024169922,0.019348145,3.596
bubblesort_ll2,0.02331543,0.01763916,3.621
bubblesort_ll2,0.017150879,0.017211914,3.559
bubblesort_ll2,0.023864746,0.018371582,3.68
bubblesort_ll2,0.018310547,0.017883301,3.609
bubblesort_ll2,0.016784668,0.017883301,3.667
bubblesort_ll2,0.023498535,0.018310547,3.625
bubblesort_ll2,0.017333984,0.018005371,3.648
bubblesort_ll,0.019104004,0.014099121,2.818
bubblesort_ll,0.013793945,0.013916016,2.456
bubblesort_ll,0.020629883,0.013244629,2.427
bubblesort_ll,0.01348877,0.01385498,2.397
bubblesort_ll,0.014221191,0.014221191,2.419
bubblesort_ll,0.019226074,0.014038086,2.423
bubblesort_ll,0.012878418,0.012695313,2.363
bubblesort_ll,0.012939453,0.01385498,2.443
bubblesort_ll,0.019897461,0.014099121,2.337
bubblesort_ll,0.014587402,0.014892578,2.423
bubblesort_ll,0.020690918,0.013122559,2.368
bubblesort_ll,0.012573242,0.015136719,2.46
bubblesort_ll,0.020446777,0.013549805,2.391
bubblesort_ll,0.013366699,0.013793945,2.382
bubblesort_ll,0.014648438,0.015014648,2.405
bubblesort_ll,0.019897461,0.01348877,2.456
bubblesort_ll,0.013549805,0.014343262,2.421
bubblesort_ll,0.019836426,0.013366699,2.474
bubblesort_ll,0.012939453,0.014343262,2.384
bubblesort_ll,0.014526367,0.014343262,2.415
bubblesort_ll,0.020202637,0.014160156,2.389
bubblesort_ll,0.01385498,0.013427734,2.341
bubblesort_ll,0.020812988,0.014648438,2.454
bubblesort_ll,0.013061523,0.014587402,2.415
bubblesort_ll,0.014343262,0.014892578,2.446
bubblesort_ll,0.012695313,0.013366699,2.416
bubblesort_ll,0.014709473,0.014099121,2.488
bubblesort_ll,0.019348145,0.01373291,2.545
bubblesort_ll,0.013000488,0.01361084,2.558
bubblesort_ll,0.020202637,0.014953613,2.46
bubblesort,0.013366699,0.010437012,3.229
bubblesort,0.01361084,0.010070801,2.755
bubblesort,0.00970459,0.009399414,2.566
bubblesort,0.014404297,0.009643555,2.667
bubblesort,0.014709473,0.009765625,2.639
bubblesort,0.008666992,0.010192871,2.625
bubblesort,0.014038086,0.00982666,2.664
bubblesort,0.013916016,0.009887695,2.69
bubblesort,0.009399414,0.010009766,2.754
bubblesort,0.013549805,0.008972168,2.681
bubblesort,0.014221191,0.009277344,2.556
bubblesort,0.00970459,0.010253906,2.577
bubblesort,0.013916016,0.00958252,2.699
bubblesort,0.009643555,0.009460449,2.562
bubblesort,0.014404297,0.010986328,2.676
bubblesort,0.014465332,0.008972168,2.544
bubblesort,0.009094238,0.010375977,2.662
bubblesort,0.013671875,0.009765625,2.629
bubblesort,0.014709473,0.00982666,2.63
bubblesort,0.008972168,0.009521484,2.614
bubblesort,0.014221191,0.00982666,2.698
bubblesort,0.014038086,0.010070801,2.705
bubblesort,0.009338379,0.00958252,2.566
bubblesort,0.014038086,0.009521484,2.594
bubblesort,0.009521484,0.009521484,2.726
bubblesort,0.013793945,0.00994873,2.542
bubblesort,0.013977051,0.010253906,2.591
bubblesort,0.009887695,0.009399414,2.58
bubblesort,0.01373291,0.008911133,2.543
bubblesort,0.009643555,0.009155273,2.559
bubblesort_func,0.022827148,0.018310547,3.913
bubblesort_func,0.016967773,0.016662598,3.36
bubblesort_func,0.017883301,0.016296387,3.345
bubblesort_func,0.023010254,0.016296387,3.413
bubblesort_func,0.016845703,0.017150879,3.367
bubblesort_func,0.018432617,0.01763916,3.38
bubblesort_func,0.021728516,0.016723633,3.44
bubblesort_func,0.017456055,0.016418457,3.372
bubblesort_func,0.024169922,0.01739502,3.398
bubblesort_func,0.017456055,0.018615723,3.475
bubblesort_func,0.01763916,0.017150879,3.343
bubblesort_func,0.024353027,0.018859863,3.479
bubblesort_func,0.018371582,0.017822266,3.554
bubblesort_func,0.022949219,0.01776123,3.432
bubblesort_func,0.017883301,0.018005371,3.419
bubblesort_func,0.024536133,0.016601563,3.395
bubblesort_func,0.01763916,0.018127441,3.394
bubblesort_func,0.017944336,0.017028809,3.415
bubblesort_func,0.017883301,0.018554688,3.51
bubblesort_func,0.018249512,0.017578125,3.484
bubblesort_func,0.024169922,0.018310547,3.512
bubblesort_func,0.01751709,0.017822266,3.415
bubblesort_func,0.025756836,0.018371582,3.404
bubblesort_func,0.018371582,0.016296387,3.389
bubblesort_func,0.025024414,0.017089844,3.406
bubblesort_func,0.017272949,0.018066406,3.514
bubblesort_func,0.02545166,0.018066406,3.57
bubblesort_func,0.01763916,0.017883301,3.429
bubblesort_func,0.018554688,0.017150879,3.414
bubblesort_func,0.024597168,0.019470215,3.458
bubblesort_ll2,0.025634766,0.018066406,3.691
bubblesort_ll2,0.018554688,0.01763916,3.533
bubblesort_ll2,0.024963379,0.018005371,3.668
bubblesort_ll2,0.018310547,0.018188477,3.593
bubblesort_ll2,0.024108887,0.017883301,3.635
bubblesort_ll2,0.023742676,0.01751709,3.655
bubblesort_ll2,0.017089844,0.018798828,3.608
bubblesort_ll2,0.023742676,0.018859863,3.731
bubblesort_ll2,0.024658203,0.017089844,3.601
bubblesort_ll2,0.017700195,0.01965332,3.778
bubblesort_ll2,0.0234375,0.017333984,3.611
bubblesort_ll2,0.023925781,0.017150879,3.606
bubblesort_ll2,0.017822266,0.019042969,3.6
bubblesort_ll2,0.023071289,0.017700195,3.565
bubblesort_ll2,0.018188477,0.016906738,3.514
bubblesort_ll2,0.024169922,0.018005371,3.536
bubblesort_ll2,0.01763916,0.017456055,3.572
bubblesort_ll2,0.023864746,0.018615723,3.694
bubblesort_ll2,0.024536133,0.018676758,3.73
bubblesort_ll2,0.01776123,0.016906738,3.631
bubblesort_ll2,0.023803711,0.019042969,3.652
bubblesort_ll2,0.024291992,0.019165039,3.668
bubblesort_ll2,0.018249512,0.018005371,3.578
bubblesort_ll2,0.023803711,0.01739502,3.577
bubblesort_ll2,0.017456055,0.018554688,3.579
bubblesort_ll2,0.017211914,0.018005371,3.581
bubblesort_ll2,0.024475098,0.018066406,3.601
bubblesort_ll2,0.016723633,0.017578125,3.454
bubblesort_ll2,0.024230957,0.017944336,3.556
bubblesort_ll2,0.017028809,0.018127441,3.565
bubblesort_ll,0.013000488,0.013549805,2.513
bubblesort_ll,0.020324707,0.015075684,2.511
bubblesort_ll,0.013671875,0.014221191,2.529
bubblesort_ll,0.019775391,0.013916016,2.458
bubblesort_ll,0.014282227,0.013671875,2.405
bubblesort_ll,0.019958496,0.015380859,2.501
bubblesort_ll,0.012573242,0.013793945,2.516
bubblesort_ll,0.019348145,0.014160156,2.488
bubblesort_ll,0.013427734,0.014770508,2.533
bubblesort_ll,0.020263672,0.014709473,2.45
bubblesort_ll,0.013244629,0.015075684,2.533
bubblesort_ll,0.019958496,0.012756348,2.391
bubblesort_ll,0.012512207,0.013793945,2.469
bubblesort_ll,0.019104004,0.01348877,2.405
bubblesort_ll,0.014282227,0.014831543,2.499
bubblesort_ll,0.013427734,0.014038086,2.506
bubblesort_ll,0.018737793,0.014709473,2.472
bubblesort_ll,0.01953125,0.014160156,2.506
bubblesort_ll,0.013122559,0.014709473,2.422
bubblesort_ll,0.014343262,0.01348877,2.393
bubblesort_ll,0.020385742,0.014343262,2.493
bubblesort_ll,0.012878418,0.014770508,2.526
bubblesort_ll,0.01965332,0.01385498,2.502
bubblesort_ll,0.013366699,0.014221191,2.433
bubblesort_ll,0.020690918,0.013061523,2.461
bubblesort_ll,0.013122559,0.013366699,2.468
bubblesort_ll,0.020629883,0.01550293,2.599
bubblesort_ll,0.013366699,0.014709473,2.532
bubblesort_ll,0.019165039,0.014648438,2.476
bubblesort_ll,0.014099121,0.01361084,2.57
bubblesort,0.011962891,0.010742188,3.184
bubblesort,0.014343262,0.010803223,2.831
bubblesort,0.009033203,0.010314941,2.702
bubblesort,0.013122559,0.010192871,2.71
bubblesort,0.013366699,0.010009766,2.636
bubblesort,0.009765625,0.009521484,2.548
bubblesort,0.013549805,0.010070801,2.598
bubblesort,0.01361084,0.010681152,2.929
bubblesort,0.009277344,0.009643555,2.594
bubblesort,0.014465332,0.010070801,2.588
bubblesort,0.014343262,0.00970459,2.611
bubblesort,0.00970459,0.00958252,2.525
bubblesort,0.013549805,0.009765625,2.606
bubblesort,0.009277344,0.009460449,2.683
bubblesort,0.009216309,0.00970459,2.899
bubblesort,0.013549805,0.009399414,2.64
bubblesort,0.014831543,0.009765625,2.574
bubblesort,0.009155273,0.010009766,2.553
bubblesort,0.013671875,0.009765625,2.578
bubblesort,0.012817383,0.011352539,2.195
bubblesort,0.012573242,0.010742188,2.115
bubblesort,0.012695313,0.010986328,2.04
bubblesort,0.013671875,0.011779785,1.977
bubblesort,0.014404297,0.012023926,2.009
bubblesort,0.013183594,0.010681152,1.968
bubblesort,0.014343262,0.012939453,2.037
bubblesort,0.013793945,0.01159668,1.963
bubblesort,0.014526367,0.012084961,2.013
bubblesort,0.013977051,0.011901855,1.962
bubblesort,0.013366699,0.01184082,1.991
bubblesort_func,0.016479492,0.01751709,3.794
bubblesort_func,0.025085449,0.017700195,3.407
bubblesort_func,0.018920898,0.017150879,3.384
bubblesort_func,0.025146484,0.016723633,3.408
bubblesort_func,0.018432617,0.017944336,3.379
bubblesort_func,0.018005371,0.017028809,3.438
bubblesort_func,0.022583008,0.017150879,3.395
bubblesort_func,0.018615723,0.017333984,3.428
bubblesort_func,0.024291992,0.016906738,3.356
bubblesort_func,0.018310547,0.018005371,3.374
bubblesort_func,0.019165039,0.019348145,3.438
bubblesort_func,0.024414063,0.01739502,3.487
bubblesort_func,0.018798828,0.019226074,3.465
bubblesort_func,0.024169922,0.01751709,3.386
bubblesort_func,0.01776123,0.018493652,3.445
bubblesort_func,0.024841309,0.017333984,3.448
bubblesort_func,0.016784668,0.017822266,3.386
bubblesort_func,0.018432617,0.01751709,3.365
bubblesort_func,0.024780273,0.018371582,3.383
bubblesort_func,0.01776123,0.018188477,3.467
bubblesort_func,0.024169922,0.016967773,3.377
bubblesort_func,0.01776123,0.018371582,3.387
bubblesort_func,0.018798828,0.016784668,3.401
bubblesort_func,0.023681641,0.016967773,3.358
bubblesort_func,0.01763916,0.018005371,3.453
bubblesort_func,0.024719238,0.01776123,3.385
bubblesort_func,0.017211914,0.01763916,3.422
bubblesort_func,0.018615723,0.017944336,3.39
bubblesort_func,0.022888184,0.017578125,3.41
bubblesort_func,0.01776123,0.017822266,3.421
bubblesort_ll2,0.018066406,0.017822266,3.606
bubblesort_ll2,0.024780273,0.01776123,3.557
bubblesort_ll2,0.018798828,0.017700195,3.605
bubblesort_ll2,0.022949219,0.019104004,3.763
bubblesort_ll2,0.024291992,0.017578125,3.578
bubblesort_ll2,0.018432617,0.018066406,3.586
bubblesort_ll2,0.023376465,0.018859863,3.639
bubblesort_ll2,0.02520752,0.020141602,3.722
bubblesort_ll2,0.017700195,0.017944336,3.564
bubblesort_ll2,0.023742676,0.017700195,3.583
bubblesort_ll2,0.018493652,0.017456055,3.615
bubblesort_ll2,0.023498535,0.019165039,3.76
bubblesort_ll2,0.023254395,0.01739502,3.538
bubblesort_ll2,0.018493652,0.018493652,3.551
bubblesort_ll2,0.024047852,0.017822266,3.586
bubblesort_ll2,0.024719238,0.018310547,3.638
bubblesort_ll2,0.017028809,0.018005371,3.587
bubblesort_ll2,0.023681641,0.017944336,3.582
bubblesort_ll2,0.017944336,0.018432617,3.638
bubblesort_ll2,0.023864746,0.018066406,3.592
bubblesort_ll2,0.024414063,0.018066406,3.601
bubblesort_ll2,0.016845703,0.017456055,3.607
bubblesort_ll2,0.024414063,0.018310547,3.546
bubblesort_ll2,0.018188477,0.018981934,3.615
bubblesort_ll2,0.023742676,0.01763916,3.555
bubblesort_ll2,0.019042969,0.018310547,3.571
bubblesort_ll2,0.023864746,0.018859863,3.642
bubblesort_ll2,0.023925781,0.018676758,3.665
bubblesort_ll2,0.025024414,0.019470215,3.714
bubblesort_ll2,0.017944336,0.017456055,3.506
bubblesort_ll,0.019104004,0.014587402,2.943
bubblesort_ll,0.014160156,0.014282227,2.514
bubblesort_ll,0.014465332,0.01385498,2.382
bubblesort_ll,0.01361084,0.014099121,2.451
bubblesort_ll,0.014709473,0.014038086,2.459
bubblesort_ll,0.019958496,0.01373291,2.374
bubblesort_ll,0.013916016,0.014160156,2.48
bubblesort_ll,0.019836426,0.013061523,2.491
bubblesort_ll,0.012512207,0.014343262,2.333
bubblesort_ll,0.01348877,0.014648438,2.402
bubblesort_ll,0.013244629,0.01361084,2.368
bubblesort_ll,0.013183594,0.014099121,2.378
bubblesort_ll,0.020141602,0.013366699,2.406
bubblesort_ll,0.012451172,0.015258789,2.504
bubblesort_ll,0.020324707,0.01348877,2.497
bubblesort_ll,0.013244629,0.014648438,2.532
bubblesort_ll,0.01940918,0.013793945,2.374
bubblesort_ll,0.013000488,0.01361084,2.392
bubblesort_ll,0.013305664,0.013305664,2.385
bubblesort_ll,0.019897461,0.014648438,2.474
bubblesort_ll,0.01361084,0.014404297,2.409
bubblesort_ll,0.020141602,0.013671875,2.391
bubblesort_ll,0.012695313,0.014648438,2.43
bubblesort_ll,0.013793945,0.013000488,2.356
bubblesort_ll,0.019226074,0.014099121,2.406
bubblesort_ll,0.013427734,0.014221191,2.389
bubblesort_ll,0.014282227,0.013061523,2.377
bubblesort_ll,0.019165039,0.015197754,2.382
